YEAR,MO,DY,HR,GHI_W/m2,Temp_C,WindSpeed_m/s
2006,1,1,0,0.0,-5.93,0.36
2006,1,1,1,0.0,-5.69,0.33
2006,1,1,2,0.0,-5.63,0.31
2006,1,1,3,0.0,-5.69,0.39
2006,1,1,4,0.0,-5.69,0.44
2006,1,1,5,0.0,-5.65,0.42
2006,1,1,6,0.0,-5.61,0.39
2006,1,1,7,5.53,-5.65,0.38
2006,1,1,8,24.52,-4.95,0.26
2006,1,1,9,96.38,-3.21,0.11
2006,1,1,10,167.4,-1.28,0.13
2006,1,1,11,147.0,-0.02,0.2
2006,1,1,12,188.95,0.63,0.22
2006,1,1,13,102.43,1.01,0.24
2006,1,1,14,78.05,1.17,0.26
2006,1,1,15,60.03,0.42,0.3
2006,1,1,16,4.55,-1.21,0.65
2006,1,1,17,0.0,-2.04,0.69
2006,1,1,18,0.0,-2.67,0.63
2006,1,1,19,0.0,-3.29,0.57
2006,1,1,20,0.0,-3.36,0.67
2006,1,1,21,0.0,-3.89,0.64
2006,1,1,22,0.0,-3.87,0.45
2006,1,1,23,0.0,-3.35,0.52
2006,1,2,0,0.0,-3.47,0.34
2006,1,2,1,0.0,-3.22,0.28
2006,1,2,2,0.0,-3.16,0.37
2006,1,2,3,0.0,-3.16,0.41
2006,1,2,4,0.0,-3.13,0.35
2006,1,2,5,0.0,-3.27,0.08
2006,1,2,6,0.0,-3.8,0.26
2006,1,2,7,5.6,-3.93,0.28
2006,1,2,8,58.65,-2.87,0.22
2006,1,2,9,115.4,-1.46,0.22
2006,1,2,10,138.52,-0.26,0.17
2006,1,2,11,186.98,0.57,0.19
2006,1,2,12,145.25,1.27,0.25
2006,1,2,13,156.2,1.51,0.29
2006,1,2,14,79.03,1.53,0.28
2006,1,2,15,50.97,0.33,0.2
2006,1,2,16,5.47,-0.32,0.22
2006,1,2,17,0.0,-0.32,0.21
2006,1,2,18,0.0,-0.48,0.19
2006,1,2,19,0.0,-0.47,0.18
2006,1,2,20,0.0,-0.42,0.19
2006,1,2,21,0.0,-0.4,0.21
2006,1,2,22,0.0,-0.39,0.23
2006,1,2,23,0.0,-0.34,0.28
2006,1,3,0,0.0,-0.27,0.36
2006,1,3,1,0.0,-0.32,0.38
2006,1,3,2,0.0,-0.41,0.36
2006,1,3,3,0.0,-0.55,0.35
2006,1,3,4,0.0,-0.68,0.35
2006,1,3,5,0.0,-0.76,0.37
2006,1,3,6,0.0,-0.85,0.38
2006,1,3,7,3.53,-0.94,0.39
2006,1,3,8,15.73,-0.87,0.37
2006,1,3,9,51.05,-0.56,0.37
2006,1,3,10,107.22,-0.15,0.39
2006,1,3,11,177.9,0.12,0.41
2006,1,3,12,130.98,0.28,0.42
2006,1,3,13,134.32,0.3,0.4
2006,1,3,14,155.43,0.19,0.39
2006,1,3,15,81.07,-0.18,0.37
