YEAR,MO,DY,HR,GHI_W/m2,Temp_C,WindSpeed_m/s
2006,1,1,0,0.0,2.99,3.42
2006,1,1,1,0.0,3.09,3.94
2006,1,1,2,0.0,3.16,4.43
2006,1,1,3,0.0,3.3,4.59
2006,1,1,4,0.0,3.43,4.43
2006,1,1,5,0.0,3.51,3.98
2006,1,1,6,0.0,3.6,3.74
2006,1,1,7,13.4,3.73,3.52
2006,1,1,8,134.85,4.48,3.63
2006,1,1,9,238.02,5.27,3.27
2006,1,1,10,305.33,6.53,3.32
2006,1,1,11,306.02,6.99,3.31
2006,1,1,12,292.33,7.19,3.17
2006,1,1,13,279.58,7.28,2.87
2006,1,1,14,207.3,7.25,2.54
2006,1,1,15,103.85,7.0,2.05
2006,1,1,16,14.48,6.01,1.62
2006,1,1,17,0.0,5.64,1.36
2006,1,1,18,0.0,5.64,0.98
2006,1,1,19,0.0,5.85,0.51
2006,1,1,20,0.0,5.76,0.22
2006,1,1,21,0.0,5.34,0.74
2006,1,1,22,0.0,5.34,0.71
2006,1,1,23,0.0,5.44,0.63
2006,1,2,0,0.0,5.47,0.67
2006,1,2,1,0.0,5.31,0.79
2006,1,2,2,0.0,5.18,0.91
2006,1,2,3,0.0,5.22,1.15
2006,1,2,4,0.0,5.04,1.54
2006,1,2,5,0.0,4.89,1.92
2006,1,2,6,0.0,4.81,2.16
2006,1,2,7,12.35,4.8,2.44
2006,1,2,8,99.97,6.03,2.9
2006,1,2,9,160.68,6.95,3.72
2006,1,2,10,233.12,7.33,3.54
2006,1,2,11,284.65,7.53,3.12
2006,1,2,12,84.22,7.47,4.05
2006,1,2,13,67.9,7.33,4.04
2006,1,2,14,26.35,7.11,4.22
2006,1,2,15,18.25,7.05,5.57
2006,1,2,16,7.78,7.36,6.7
2006,1,2,17,0.0,7.63,6.98
2006,1,2,18,0.0,7.51,6.1
2006,1,2,19,0.0,7.36,5.7
2006,1,2,20,0.0,7.3,5.5
2006,1,2,21,0.0,7.31,4.74
2006,1,2,22,0.0,7.99,4.64
2006,1,2,23,0.0,8.07,3.99
2006,1,3,0,0.0,8.16,2.87
2006,1,3,1,0.0,7.82,1.52
2006,1,3,2,0.0,7.37,1.88
2006,1,3,3,0.0,7.1,3.3
2006,1,3,4,0.0,6.86,4.4
2006,1,3,5,0.0,6.69,4.8
2006,1,3,6,0.0,6.56,4.88
2006,1,3,7,7.3,6.17,5.42
2006,1,3,8,13.1,5.91,5.96
2006,1,3,9,92.45,5.99,6.03
2006,1,3,10,47.97,5.94,6.25
2006,1,3,11,56.95,5.7,6.9
2006,1,3,12,49.9,5.56,7.59
2006,1,3,13,51.28,5.48,8.26
2006,1,3,14,32.78,5.11,8.76
2006,1,3,15,39.12,4.3,9.09
2006,1,3,16,9.5,3.79,8.71
2006,1,3,17,0.0,3.82,8.43
2006,1,3,18,0.0,3.89,8.46
2006,1,3,19,0.0,3.7,8.48
2006,1,3,20,0.0,3.48,8.3
2006,1,3,21,0.0,3.42,7.85
2006,1,3,22,0.0,3.49,7.37
2006,1,3,23,0.0,3.46,7.06
2006,1,4,0,0.0,3.21,6.67
2006,1,4,1,0.0,2.86,6.14
2006,1,4,2,0.0,2.64,5.73
2006,1,4,3,0.0,2.52,5.57
2006,1,4,4,0.0,2.42,5.55
2006,1,4,5,0.0,2.29,5.41
2006,1,4,6,0.0,2.01,4.93
2006,1,4,7,8.25,1.82,4.52
2006,1,4,8,66.47,2.3,4.54
2006,1,4,9,142.02,2.7,4.07
2006,1,4,10,196.05,3.19,3.35
2006,1,4,11,211.88,3.79,2.49
2006,1,4,12,233.07,4.3,1.74
2006,1,4,13,229.57,4.61,1.63
2006,1,4,14,149.88,4.77,1.99
2006,1,4,15,81.15,4.67,1.98
2006,1,4,16,12.07,4.18,2.2
2006,1,4,17,0.0,3.92,2.62
