YEAR,MO,DY,HR,GHI_W/m2,Temp_C,WindSpeed_m/s
2006,1,1,0,0.0,-2.04,0.14
2006,1,1,1,0.0,-2.36,0.24
2006,1,1,2,0.0,-2.96,0.27
2006,1,1,3,0.0,-3.0,0.27
2006,1,1,4,0.0,-2.77,0.29
2006,1,1,5,0.0,-2.58,0.3
2006,1,1,6,0.0,-2.56,0.29
2006,1,1,7,4.28,-2.51,0.29
2006,1,1,8,56.78,-1.32,0.22
2006,1,1,9,121.95,0.68,0.22
2006,1,1,10,166.1,2.23,0.23
2006,1,1,11,174.75,3.17,0.27
2006,1,1,12,180.52,3.44,0.28
2006,1,1,13,98.45,3.02,0.23
2006,1,1,14,69.55,2.78,0.19
2006,1,1,15,36.6,1.3,0.17
2006,1,1,16,4.97,-0.9,0.22
2006,1,1,17,0.0,-1.4,0.22
2006,1,1,18,0.0,-2.03,0.24
2006,1,1,19,0.0,-2.38,0.25
2006,1,1,20,0.0,-2.59,0.25
2006,1,1,21,0.0,-2.5,0.24
2006,1,1,22,0.0,-2.58,0.26
2006,1,1,23,0.0,-1.95,0.24
2006,1,2,0,0.0,-1.41,0.21
2006,1,2,1,0.0,-1.62,0.21
2006,1,2,2,0.0,-1.65,0.21
2006,1,2,3,0.0,-1.91,0.22
2006,1,2,4,0.0,-1.93,0.21
2006,1,2,5,0.0,-2.08,0.28
2006,1,2,6,0.0,-2.13,0.44
2006,1,2,7,4.43,-1.71,0.5
2006,1,2,8,34.25,-0.17,0.14
2006,1,2,9,81.38,1.39,0.13
2006,1,2,10,149.3,3.17,0.23
2006,1,2,11,152.73,3.52,0.23
2006,1,2,12,169.25,2.58,0.18
2006,1,2,13,138.45,2.37,0.21
2006,1,2,14,79.75,1.66,0.2
2006,1,2,15,42.8,0.88,0.23
2006,1,2,16,5.2,0.41,0.22
2006,1,2,17,0.0,0.18,0.27
2006,1,2,18,0.0,0.01,0.22
2006,1,2,19,0.0,-0.11,0.27
2006,1,2,20,0.0,-0.12,0.32
2006,1,2,21,0.0,-0.18,0.31
2006,1,2,22,0.0,-0.17,0.36
2006,1,2,23,0.0,-0.15,0.41
2006,1,3,0,0.0,-0.11,0.46
2006,1,3,1,0.0,-0.1,0.51
2006,1,3,2,0.0,-0.1,0.56
2006,1,3,3,0.0,-0.02,0.61
2006,1,3,4,0.0,-0.06,0.62
2006,1,3,5,0.0,-0.13,0.59
2006,1,3,6,0.0,-0.18,0.57
2006,1,3,7,4.38,-0.23,0.56
2006,1,3,8,28.38,-0.17,0.57
2006,1,3,9,75.38,-0.09,0.56
2006,1,3,10,112.82,-0.04,0.55
2006,1,3,11,144.05,0.04,0.54
2006,1,3,12,173.52,0.09,0.54
2006,1,3,13,123.18,0.12,0.54
2006,1,3,14,107.35,0.08,0.53
2006,1,3,15,39.75,0.0,0.51
2006,1,3,16,6.6,-0.11,0.48
2006,1,3,17,0.0,-0.24,0.46
2006,1,3,18,0.0,-0.49,0.43
2006,1,3,19,0.0,-0.84,0.43
2006,1,3,20,0.0,-1.31,0.42
2006,1,3,21,0.0,-1.99,0.4
2006,1,3,22,0.0,-2.85,0.39
2006,1,3,23,0.0,-3.9,0.36
2006,1,4,0,0.0,-5.32,0.31
2006,1,4,1,0.0,-7.16,0.28
2006,1,4,2,0.0,-8.81,0.26
2006,1,4,3,0.0,-9.99,0.32
2006,1,4,4,0.0,-10.55,0.37
2006,1,4,5,0.0,-11.01,0.44
2006,1,4,6,0.0,-11.27,0.67
2006,1,4,7,8.23,-11.09,0.88
2006,1,4,8,81.65,-9.29,0.72
2006,1,4,9,168.43,-5.47,0.27
2006,1,4,10,257.52,-2.96,0.19
2006,1,4,11,240.98,-1.67,0.18
2006,1,4,12,218.07,-0.74,0.15
2006,1,4,13,264.9,-0.31,0.12
2006,1,4,14,135.35,-0.62,0.14
2006,1,4,15,61.88,-0.98,0.14
2006,1,4,16,8.2,-2.81,0.37
2006,1,4,17,0.0,-4.94,0.57
2006,1,4,18,0.0,-5.34,0.37
2006,1,4,19,0.0,-4.93,0.33
2006,1,4,20,0.0,-4.63,0.37
2006,1,4,21,0.0,-4.06,0.29
2006,1,4,22,0.0,-2.98,0.31
2006,1,4,23,0.0,-2.02,0.32
2006,1,5,0,0.0,-1.58,0.29
2006,1,5,1,0.0,-1.26,0.27
2006,1,5,2,0.0,-1.03,0.27
2006,1,5,3,0.0,-0.84,0.28
2006,1,5,4,0.0,-0.57,0.29
2006,1,5,5,0.0,-0.31,0.29
2006,1,5,6,0.0,-0.26,0.28
2006,1,5,7,7.3,-0.54,0.22
2006,1,5,8,86.75,-0.24,0.23
2006,1,5,9,182.48,0.19,0.24
2006,1,5,10,170.27,0.38,0.27
2006,1,5,11,306.75,0.52,0.33
2006,1,5,12,285.8,0.68,0.32
2006,1,5,13,222.25,0.89,0.31
2006,1,5,14,145.0,1.06,0.28
2006,1,5,15,80.43,0.86,0.24
2006,1,5,16,9.65,-1.06,0.22
2006,1,5,17,0.0,-1.99,0.25
2006,1,5,18,0.0,-2.18,0.27
2006,1,5,19,0.0,-2.21,0.29
2006,1,5,20,0.0,-2.17,0.3
2006,1,5,21,0.0,-2.65,0.31
2006,1,5,22,0.0,-2.71,0.32
2006,1,5,23,0.0,-2.39,0.33
2006,1,6,0,0.0,-2.17,0.3
2006,1,6,1,0.0,-2.16,0.26
2006,1,6,2,0.0,-2.28,0.26
2006,1,6,3,0.0,-2.5,0.27
2006,1,6,4,0.0,-2.31,0.33
2006,1,6,5,0.0,-2.03,0.38
2006,1,6,6,0.0,-2.22,0.38
2006,1,6,7,7.05,-2.74,0.35
2006,1,6,8,58.4,-2.54,0.38
2006,1,6,9,88.88,-2.0,0.42
2006,1,6,10,131.65,-1.64,0.48
2006,1,6,11,165.9,-1.2,0.52
2006,1,6,12,172.5,-0.82,0.53
2006,1,6,13,145.85,-0.68,0.54
2006,1,6,14,117.53,-0.88,0.5
2006,1,6,15,74.8,-1.56,0.46
2006,1,6,16,10.45,-3.01,0.45
2006,1,6,17,0.0,-4.41,0.45
2006,1,6,18,0.0,-5.4,0.45
2006,1,6,19,0.0,-6.65,0.45
2006,1,6,20,0.0,-7.67,0.44
2006,1,6,21,0.0,-8.5,0.4
2006,1,6,22,0.0,-9.1,0.36
2006,1,6,23,0.0,-9.4,0.35
2006,1,7,0,0.0,-9.71,0.34
2006,1,7,1,0.0,-10.2,0.34
2006,1,7,2,0.0,-10.81,0.36
2006,1,7,3,0.0,-11.37,0.42
2006,1,7,4,0.0,-11.8,0.47
2006,1,7,5,0.0,-12.04,0.75
2006,1,7,6,0.0,-12.38,0.89
2006,1,7,7,11.62,-12.38,0.9
2006,1,7,8,140.23,-11.03,0.77
2006,1,7,9,290.4,-7.53,0.36
2006,1,7,10,398.48,-5.22,0.33
2006,1,7,11,459.25,-3.94,0.33
2006,1,7,12,456.45,-3.19,0.32
2006,1,7,13,371.4,-2.82,0.31
2006,1,7,14,265.05,-2.78,0.27
2006,1,7,15,119.75,-3.04,0.18
2006,1,7,16,12.77,-4.29,0.42
2006,1,7,17,0.0,-5.79,0.54
2006,1,7,18,0.0,-6.26,0.48
2006,1,7,19,0.0,-6.15,0.3
2006,1,7,20,0.0,-5.81,0.22
2006,1,7,21,0.0,-5.82,0.36
2006,1,7,22,0.0,-6.52,0.46
2006,1,7,23,0.0,-7.36,0.39
2006,1,8,0,0.0,-6.7,0.3
2006,1,8,1,0.0,-5.97,0.28
2006,1,8,2,0.0,-5.74,0.24
2006,1,8,3,0.0,-5.8,0.23
2006,1,8,4,0.0,-5.67,0.3
2006,1,8,5,0.0,-5.46,0.43
2006,1,8,6,0.0,-5.28,0.47
2006,1,8,7,7.4,-5.41,0.52
2006,1,8,8,104.88,-4.58,0.43
2006,1,8,9,245.2,-2.18,0.29
2006,1,8,10,386.88,-0.39,0.3
2006,1,8,11,422.17,0.68,0.27
2006,1,8,12,354.52,1.2,0.28
2006,1,8,13,248.4,1.5,0.28
2006,1,8,14,205.98,1.72,0.35
2006,1,8,15,83.25,1.04,0.45
2006,1,8,16,12.12,-0.16,0.74
2006,1,8,17,0.0,-1.33,0.67
2006,1,8,18,0.0,-2.22,0.34
2006,1,8,19,0.0,-1.91,0.25
2006,1,8,20,0.0,-1.75,0.29
2006,1,8,21,0.0,-1.95,0.31
2006,1,8,22,0.0,-1.84,0.34
2006,1,8,23,0.0,-1.67,0.36
2006,1,9,0,0.0,-1.05,0.4
2006,1,9,1,0.0,-0.6,0.41
2006,1,9,2,0.0,-0.39,0.38
2006,1,9,3,0.0,-0.21,0.35
2006,1,9,4,0.0,0.04,0.28
2006,1,9,5,0.0,0.36,0.25
2006,1,9,6,0.0,0.56,0.27
2006,1,9,7,7.78,0.67,0.34
2006,1,9,8,76.18,1.09,0.44
2006,1,9,9,106.53,1.89,0.49
2006,1,9,10,140.27,2.95,0.53
2006,1,9,11,145.23,4.1,0.61
2006,1,9,12,145.85,5.31,0.63
2006,1,9,13,149.68,6.25,0.59
2006,1,9,14,123.72,6.28,0.52
2006,1,9,15,49.4,5.54,0.56
2006,1,9,16,13.32,4.08,0.56
2006,1,9,17,0.0,3.14,0.56
2006,1,9,18,0.0,2.19,0.53
2006,1,9,19,0.0,0.9,0.44
2006,1,9,20,0.0,0.1,0.4
2006,1,9,21,0.0,-0.82,0.34
2006,1,9,22,0.0,-1.47,0.34
2006,1,9,23,0.0,-1.91,0.31
2006,1,10,0,0.0,-2.2,0.3
2006,1,10,1,0.0,-2.47,0.28
2006,1,10,2,0.0,-2.59,0.29
2006,1,10,3,0.0,-2.71,0.3
2006,1,10,4,0.0,-2.92,0.33
2006,1,10,5,0.0,-3.21,0.39
2006,1,10,6,0.0,-3.15,0.4
2006,1,10,7,10.5,-2.68,0.41
2006,1,10,8,101.68,-0.72,0.37
2006,1,10,9,222.77,1.03,0.32
2006,1,10,10,332.17,2.43,0.37
2006,1,10,11,406.6,3.43,0.37
2006,1,10,12,428.7,4.18,0.35
2006,1,10,13,395.45,4.55,0.29
2006,1,10,14,285.15,4.26,0.25
2006,1,10,15,137.25,2.93,0.5
2006,1,10,16,20.17,0.63,0.96
2006,1,10,17,0.0,-0.26,1.06
2006,1,10,18,0.0,-0.74,1.04
