YEAR,MO,DY,HR,GHI_W/m2,Temp_C,WindSpeed_m/s
2006,1,1,0,0.0,15.73,1.63
2006,1,1,1,0.0,15.66,1.64
2006,1,1,2,0.0,15.6,1.68
2006,1,1,3,0.0,15.59,1.72
2006,1,1,4,0.0,15.75,1.77
2006,1,1,5,0.0,16.06,1.83
2006,1,1,6,0.0,16.34,1.81
2006,1,1,7,34.53,17.66,1.84
2006,1,1,8,110.35,19.23,2.17
2006,1,1,9,199.75,20.27,2.27
2006,1,1,10,255.98,21.04,2.58
2006,1,1,11,295.8,21.86,2.96
2006,1,1,12,297.38,22.29,3.25
2006,1,1,13,175.88,22.23,3.4
2006,1,1,14,115.6,21.8,3.47
2006,1,1,15,57.35,21.23,3.64
2006,1,1,16,38.3,20.6,3.79
2006,1,1,17,0.0,20.24,3.95
2006,1,1,18,0.0,20.18,4.11
2006,1,1,19,0.0,20.08,3.79
2006,1,1,20,0.0,20.16,4.02
2006,1,1,21,0.0,20.12,4.19
2006,1,1,22,0.0,20.05,4.14
2006,1,1,23,0.0,19.99,4.24
2006,1,2,0,0.0,19.8,4.01
2006,1,2,1,0.0,19.68,4.01
2006,1,2,2,0.0,19.62,3.96
2006,1,2,3,0.0,19.58,3.88
2006,1,2,4,0.0,19.62,3.98
2006,1,2,5,0.0,19.58,3.97
2006,1,2,6,0.0,19.5,3.97
2006,1,2,7,47.15,19.75,4.27
2006,1,2,8,192.3,20.34,4.56
2006,1,2,9,296.3,21.03,4.68
2006,1,2,10,399.25,21.83,5.08
2006,1,2,11,536.17,22.21,5.15
2006,1,2,12,575.3,22.34,5.02
2006,1,2,13,518.92,22.26,4.77
2006,1,2,14,381.23,21.98,4.34
2006,1,2,15,219.07,21.54,3.84
2006,1,2,16,55.22,20.49,3.46
2006,1,2,17,0.0,19.41,3.2
2006,1,2,18,0.0,18.72,3.06
2006,1,2,19,0.0,17.99,2.94
2006,1,2,20,0.0,16.85,2.84
2006,1,2,21,0.0,16.32,3.19
2006,1,2,22,0.0,15.86,3.23
2006,1,2,23,0.0,15.36,3.3
2006,1,3,0,0.0,14.75,3.33
2006,1,3,1,0.0,14.09,3.35
2006,1,3,2,0.0,13.48,3.43
2006,1,3,3,0.0,12.85,3.29
2006,1,3,4,0.0,12.18,2.98
2006,1,3,5,0.0,11.82,2.78
2006,1,3,6,0.0,11.46,2.71
