YEAR,MO,DY,HR,GHI_W/m2,Temp_C,WindSpeed_m/s
2006,1,1,0,0.0,-1.39,3.16
2006,1,1,1,0.0,-2.89,2.34
2006,1,1,2,0.0,-3.42,2.24
2006,1,1,3,0.0,-3.12,2.8
2006,1,1,4,0.0,-2.91,2.87
2006,1,1,5,0.0,-3.08,2.5
2006,1,1,6,0.0,-3.15,2.08
2006,1,1,7,26.48,-2.95,1.75
2006,1,1,8,101.55,-1.66,1.88
2006,1,1,9,170.07,0.55,2.22
2006,1,1,10,187.95,2.23,2.45
2006,1,1,11,214.18,3.19,2.55
2006,1,1,12,202.15,3.92,2.65
2006,1,1,13,161.75,4.05,2.49
2006,1,1,14,81.95,3.27,1.86
2006,1,1,15,30.62,2.0,2.11
2006,1,1,16,0.0,1.37,2.32
2006,1,1,17,0.0,1.54,2.81
2006,1,1,18,0.0,1.66,3.18
2006,1,1,19,0.0,1.58,3.32
2006,1,1,20,0.0,1.66,3.52
2006,1,1,21,0.0,1.61,3.43
2006,1,1,22,0.0,1.5,3.44
2006,1,1,23,0.0,1.59,3.62
2006,1,2,0,0.0,1.64,3.43
2006,1,2,1,0.0,1.52,3.09
2006,1,2,2,0.0,1.44,2.78
2006,1,2,3,0.0,1.62,2.83
2006,1,2,4,0.0,1.73,3.07
2006,1,2,5,0.0,1.88,3.32
2006,1,2,6,0.0,2.11,3.55
2006,1,2,7,8.25,2.32,3.61
2006,1,2,8,26.33,2.64,3.5
2006,1,2,9,55.47,3.15,3.53
2006,1,2,10,86.03,3.67,3.41
2006,1,2,11,70.45,4.17,2.8
2006,1,2,12,68.65,4.39,2.96
2006,1,2,13,56.12,4.31,3.47
2006,1,2,14,26.1,4.24,3.52
2006,1,2,15,28.77,4.11,3.92
2006,1,2,16,0.0,4.06,4.94
2006,1,2,17,0.0,3.78,4.9
2006,1,2,18,0.0,3.41,4.48
2006,1,2,19,0.0,3.16,4.28
2006,1,2,20,0.0,2.97,4.0
2006,1,2,21,0.0,2.96,3.9
2006,1,2,22,0.0,2.9,3.38
2006,1,2,23,0.0,2.55,3.08
2006,1,3,0,0.0,2.08,3.91
2006,1,3,1,0.0,1.55,4.7
2006,1,3,2,0.0,1.37,4.84
2006,1,3,3,0.0,1.45,4.36
2006,1,3,4,0.0,1.54,3.63
2006,1,3,5,0.0,1.63,2.89
2006,1,3,6,0.0,1.38,1.98
2006,1,3,7,28.85,1.62,1.96
2006,1,3,8,28.05,2.7,2.75
2006,1,3,9,44.58,3.41,2.76
2006,1,3,10,42.6,3.55,2.71
2006,1,3,11,82.85,3.73,2.35
2006,1,3,12,121.53,4.17,1.89
2006,1,3,13,100.45,4.33,1.3
2006,1,3,14,46.97,4.13,0.5
2006,1,3,15,36.25,3.76,0.19
2006,1,3,16,0.0,3.4,0.44
2006,1,3,17,0.0,3.21,0.57
2006,1,3,18,0.0,2.89,0.69
2006,1,3,19,0.0,2.59,0.82
2006,1,3,20,0.0,2.46,1.05
2006,1,3,21,0.0,2.47,1.32
2006,1,3,22,0.0,2.54,1.66
2006,1,3,23,0.0,2.67,2.05
2006,1,4,0,0.0,2.88,2.49
2006,1,4,1,0.0,3.15,2.77
2006,1,4,2,0.0,3.41,2.73
2006,1,4,3,0.0,3.64,2.79
2006,1,4,4,0.0,3.89,3.23
2006,1,4,5,0.0,3.92,3.71
2006,1,4,6,0.0,3.94,4.06
2006,1,4,7,17.8,4.19,4.36
2006,1,4,8,28.58,4.58,4.44
2006,1,4,9,29.1,4.96,4.41
2006,1,4,10,59.0,5.52,4.35
2006,1,4,11,68.9,6.54,4.58
2006,1,4,12,43.22,7.17,3.81
2006,1,4,13,42.92,7.32,3.68
2006,1,4,14,15.23,6.62,4.64
2006,1,4,15,25.4,5.36,5.14
2006,1,4,16,0.0,4.45,5.15
2006,1,4,17,0.0,4.31,5.65
2006,1,4,18,0.0,4.18,5.85
2006,1,4,19,0.0,3.48,5.74
2006,1,4,20,0.0,2.75,5.76
2006,1,4,21,0.0,2.45,5.92
2006,1,4,22,0.0,2.3,6.2
2006,1,4,23,0.0,1.83,5.94
2006,1,5,0,0.0,1.39,5.95
2006,1,5,1,0.0,1.03,5.82
2006,1,5,2,0.0,0.51,5.06
2006,1,5,3,0.0,0.09,4.72
2006,1,5,4,0.0,0.0,4.9
2006,1,5,5,0.0,0.43,5.16
2006,1,5,6,0.0,0.42,4.72
2006,1,5,7,18.48,0.72,4.56
2006,1,5,8,32.22,1.64,4.69
2006,1,5,9,58.45,2.6,5.0
2006,1,5,10,128.5,3.36,5.43
2006,1,5,11,94.05,3.82,5.52
2006,1,5,12,164.38,4.01,5.45
2006,1,5,13,147.05,3.78,5.27
2006,1,5,14,94.68,3.07,4.76
2006,1,5,15,40.47,2.06,4.05
2006,1,5,16,0.0,1.09,3.96
2006,1,5,17,0.0,0.5,4.06
2006,1,5,18,0.0,-0.15,4.45
2006,1,5,19,0.0,-1.03,4.54
2006,1,5,20,0.0,-1.73,4.81
2006,1,5,21,0.0,-2.36,4.4
2006,1,5,22,0.0,-2.87,3.86
2006,1,5,23,0.0,-3.24,3.73
2006,1,6,0,0.0,-3.49,3.91
2006,1,6,1,0.0,-3.47,4.18
2006,1,6,2,0.0,-3.64,4.22
2006,1,6,3,0.0,-3.91,4.23
2006,1,6,4,0.0,-4.17,4.09
2006,1,6,5,0.0,-4.36,4.18
2006,1,6,6,0.0,-4.59,4.29
2006,1,6,7,36.05,-4.58,4.52
2006,1,6,8,172.4,-4.07,4.84
2006,1,6,9,256.6,-3.32,4.73
2006,1,6,10,300.45,-2.54,4.57
2006,1,6,11,358.15,-1.8,4.42
2006,1,6,12,275.33,-1.35,3.9
2006,1,6,13,234.12,-1.09,3.52
2006,1,6,14,136.48,-1.21,3.1
2006,1,6,15,61.38,-2.22,1.65
2006,1,6,16,0.0,-3.1,1.03
2006,1,6,17,0.0,-2.76,1.21
2006,1,6,18,0.0,-2.73,1.48
2006,1,6,19,0.0,-2.66,2.07
2006,1,6,20,0.0,-2.57,2.84
2006,1,6,21,0.0,-2.56,3.35
2006,1,6,22,0.0,-2.54,3.78
2006,1,6,23,0.0,-2.61,4.07
2006,1,7,0,0.0,-2.55,4.52
2006,1,7,1,0.0,-2.58,4.72
2006,1,7,2,0.0,-2.45,5.02
2006,1,7,3,0.0,-2.38,5.29
2006,1,7,4,0.0,-2.25,5.65
2006,1,7,5,0.0,-2.1,5.84
2006,1,7,6,0.0,-2.2,5.61
2006,1,7,7,17.85,-1.72,6.23
2006,1,7,8,31.67,-0.74,6.1
2006,1,7,9,64.35,0.3,6.42
