YEAR,MO,DY,HR,GHI_W/m2,Temp_C,WindSpeed_m/s
2006,1,1,0,0.0,-1.2,0.88
2006,1,1,1,0.0,-1.46,0.82
2006,1,1,2,0.0,-2.2,0.92
2006,1,1,3,0.0,-2.3,0.93
2006,1,1,4,0.0,-2.21,0.91
2006,1,1,5,0.0,-2.13,0.89
2006,1,1,6,0.0,-2.08,0.85
2006,1,1,7,9.02,-1.88,0.78
2006,1,1,8,54.38,-0.56,0.98
2006,1,1,9,132.68,1.07,0.98
2006,1,1,10,184.02,2.39,0.81
2006,1,1,11,167.68,3.54,0.72
2006,1,1,12,153.48,4.44,0.84
2006,1,1,13,166.07,4.73,0.89
2006,1,1,14,117.75,4.35,0.74
2006,1,1,15,53.12,3.37,0.63
2006,1,1,16,5.93,1.76,0.9
2006,1,1,17,0.0,1.07,0.97
2006,1,1,18,0.0,0.84,0.95
2006,1,1,19,0.0,0.67,0.95
2006,1,1,20,0.0,0.45,0.97
2006,1,1,21,0.0,-0.24,1.01
2006,1,1,22,0.0,-0.96,0.98
2006,1,1,23,0.0,-1.11,1.02
2006,1,2,0,0.0,-0.95,1.02
2006,1,2,1,0.0,-0.9,1.0
2006,1,2,2,0.0,-0.88,0.99
2006,1,2,3,0.0,-0.98,0.96
2006,1,2,4,0.0,-0.98,0.86
2006,1,2,5,0.0,-0.83,0.91
2006,1,2,6,0.0,-0.56,0.89
2006,1,2,7,11.5,-0.27,0.71
2006,1,2,8,74.97,1.1,0.4
2006,1,2,9,151.05,2.51,0.64
2006,1,2,10,208.77,4.77,0.75
2006,1,2,11,247.2,5.83,0.94
2006,1,2,12,218.45,5.08,0.6
2006,1,2,13,164.12,4.57,0.9
2006,1,2,14,118.57,3.89,0.86
2006,1,2,15,44.97,2.82,0.98
2006,1,2,16,5.1,2.48,1.19
2006,1,2,17,0.0,2.7,1.48
2006,1,2,18,0.0,2.94,1.72
2006,1,2,19,0.0,2.84,1.68
2006,1,2,20,0.0,2.52,2.23
2006,1,2,21,0.0,2.01,2.52
2006,1,2,22,0.0,1.76,2.71
2006,1,2,23,0.0,1.61,3.09
2006,1,3,0,0.0,1.58,3.43
2006,1,3,1,0.0,1.57,3.66
2006,1,3,2,0.0,1.39,3.83
2006,1,3,3,0.0,1.1,4.02
2006,1,3,4,0.0,1.01,4.06
2006,1,3,5,0.0,1.05,4.14
2006,1,3,6,0.0,1.02,4.08
2006,1,3,7,7.12,0.87,3.86
2006,1,3,8,17.65,0.94,3.81
2006,1,3,9,28.35,1.1,3.89
2006,1,3,10,36.38,1.23,3.89
2006,1,3,11,34.67,1.35,3.83
2006,1,3,12,48.8,1.28,3.81
2006,1,3,13,52.75,1.09,3.77
2006,1,3,14,38.67,0.95,3.66
2006,1,3,15,39.35,0.83,3.59
2006,1,3,16,7.75,0.7,3.36
2006,1,3,17,0.0,0.68,3.18
2006,1,3,18,0.0,0.65,3.08
2006,1,3,19,0.0,0.51,2.93
2006,1,3,20,0.0,0.18,2.74
2006,1,3,21,0.0,-0.38,2.63
2006,1,3,22,0.0,-1.07,2.54
2006,1,3,23,0.0,-1.83,2.46
2006,1,4,0,0.0,-2.69,2.24
2006,1,4,1,0.0,-3.5,2.13
2006,1,4,2,0.0,-4.24,2.03
2006,1,4,3,0.0,-4.87,1.97
2006,1,4,4,0.0,-5.45,1.98
2006,1,4,5,0.0,-5.96,2.04
2006,1,4,6,0.0,-6.23,2.06
2006,1,4,7,9.48,-6.27,2.06
2006,1,4,8,88.15,-4.64,2.06
2006,1,4,9,188.9,-2.34,1.96
2006,1,4,10,241.93,-0.59,1.73
2006,1,4,11,308.45,0.62,1.32
2006,1,4,12,217.95,1.31,1.03
2006,1,4,13,206.52,1.67,0.68
2006,1,4,14,147.9,1.2,0.85
2006,1,4,15,55.2,0.5,0.61
2006,1,4,16,6.72,-0.86,0.77
2006,1,4,17,0.0,-1.75,0.95
2006,1,4,18,0.0,-1.97,0.96
2006,1,4,19,0.0,-1.41,0.9
2006,1,4,20,0.0,-0.85,0.8
2006,1,4,21,0.0,-0.68,0.81
2006,1,4,22,0.0,-0.33,0.89
2006,1,4,23,0.0,0.24,0.97
2006,1,5,0,0.0,0.64,1.01
2006,1,5,1,0.0,0.88,1.04
2006,1,5,2,0.0,0.98,1.06
2006,1,5,3,0.0,1.13,1.14
2006,1,5,4,0.0,1.32,1.22
2006,1,5,5,0.0,1.47,1.3
2006,1,5,6,0.0,1.65,1.37
2006,1,5,7,6.0,1.67,1.36
2006,1,5,8,25.35,1.86,1.47
2006,1,5,9,79.28,2.27,1.57
2006,1,5,10,110.6,2.87,1.71
2006,1,5,11,306.2,3.58,1.94
2006,1,5,12,357.77,4.24,2.09
2006,1,5,13,317.3,4.86,2.06
2006,1,5,14,211.2,5.12,1.77
2006,1,5,15,97.25,4.32,1.17
2006,1,5,16,12.07,1.53,1.02
2006,1,5,17,0.0,0.56,1.03
2006,1,5,18,0.0,0.24,1.06
2006,1,5,19,0.0,0.2,1.1
2006,1,5,20,0.0,0.11,1.06
2006,1,5,21,0.0,-0.17,1.03
2006,1,5,22,0.0,-0.49,1.05
2006,1,5,23,0.0,-0.8,1.14
2006,1,6,0,0.0,-0.89,1.24
2006,1,6,1,0.0,-0.94,1.28
2006,1,6,2,0.0,-0.97,1.29
2006,1,6,3,0.0,-0.96,1.3
2006,1,6,4,0.0,-0.97,1.3
2006,1,6,5,0.0,-0.83,1.33
2006,1,6,6,0.0,-0.93,1.4
2006,1,6,7,8.93,-0.99,1.5
2006,1,6,8,53.05,0.22,2.0
2006,1,6,9,103.45,0.8,2.26
2006,1,6,10,153.1,1.0,2.33
2006,1,6,11,180.12,1.2,2.35
2006,1,6,12,199.55,1.48,2.49
2006,1,6,13,157.88,1.74,2.61
2006,1,6,14,109.0,1.68,2.53
2006,1,6,15,48.03,1.13,2.39
2006,1,6,16,6.88,-0.34,2.12
2006,1,6,17,0.0,-1.49,2.1
2006,1,6,18,0.0,-2.11,2.12
2006,1,6,19,0.0,-2.64,2.12
2006,1,6,20,0.0,-3.06,2.22
2006,1,6,21,0.0,-3.6,2.11
2006,1,6,22,0.0,-4.32,1.95
2006,1,6,23,0.0,-4.78,2.03
2006,1,7,0,0.0,-4.95,2.17
2006,1,7,1,0.0,-5.23,2.17
2006,1,7,2,0.0,-5.55,2.11
2006,1,7,3,0.0,-5.84,2.09
2006,1,7,4,0.0,-6.17,2.08
2006,1,7,5,0.0,-6.5,2.03
2006,1,7,6,0.0,-6.78,2.0
2006,1,7,7,14.45,-6.8,2.0
2006,1,7,8,143.27,-5.41,2.05
2006,1,7,9,293.0,-3.62,1.98
2006,1,7,10,401.58,-2.32,1.81
2006,1,7,11,445.9,-1.31,1.64
2006,1,7,12,461.77,-0.59,1.59
2006,1,7,13,406.77,-0.19,1.56
2006,1,7,14,282.52,-0.25,1.44
2006,1,7,15,123.18,-0.63,1.05
2006,1,7,16,16.25,-1.79,0.86
2006,1,7,17,0.0,-2.65,0.98
2006,1,7,18,0.0,-2.81,1.06
2006,1,7,19,0.0,-2.48,1.17
2006,1,7,20,0.0,-2.19,1.28
2006,1,7,21,0.0,-2.2,1.3
2006,1,7,22,0.0,-2.51,1.31
2006,1,7,23,0.0,-2.97,1.33
2006,1,8,0,0.0,-2.85,1.34
2006,1,8,1,0.0,-2.52,1.29
2006,1,8,2,0.0,-2.16,1.26
2006,1,8,3,0.0,-1.81,1.24
2006,1,8,4,0.0,-1.37,1.3
2006,1,8,5,0.0,-0.93,1.37
2006,1,8,6,0.0,-0.69,1.41
2006,1,8,7,6.25,-0.65,1.43
2006,1,8,8,98.53,0.02,1.52
2006,1,8,9,202.65,0.76,1.74
2006,1,8,10,348.02,1.93,1.62
2006,1,8,11,430.05,3.35,1.62
2006,1,8,12,430.33,4.29,1.64
2006,1,8,13,372.05,4.54,1.47
2006,1,8,14,280.12,4.27,1.07
2006,1,8,15,109.15,3.03,0.9
2006,1,8,16,11.12,2.68,0.98
2006,1,8,17,0.0,2.25,0.94
2006,1,8,18,0.0,0.65,1.1
2006,1,8,19,0.0,0.3,1.08
2006,1,8,20,0.0,0.49,1.26
2006,1,8,21,0.0,0.89,1.37
2006,1,8,22,0.0,1.42,1.46
2006,1,8,23,0.0,1.73,1.54
2006,1,9,0,0.0,2.05,1.66
2006,1,9,1,0.0,2.34,1.72
2006,1,9,2,0.0,2.59,1.69
2006,1,9,3,0.0,2.83,1.62
2006,1,9,4,0.0,3.03,1.57
2006,1,9,5,0.0,2.9,1.55
2006,1,9,6,0.0,2.38,1.53
2006,1,9,7,11.65,2.03,1.51
2006,1,9,8,101.15,3.01,1.66
2006,1,9,9,224.48,4.17,1.93
2006,1,9,10,335.35,5.74,2.23
2006,1,9,11,408.08,7.39,2.23
2006,1,9,12,370.12,8.75,2.26
2006,1,9,13,299.08,9.85,2.28
2006,1,9,14,237.77,10.16,2.33
2006,1,9,15,117.62,9.07,1.86
2006,1,9,16,14.25,6.99,1.64
2006,1,9,17,0.0,6.75,1.8
2006,1,9,18,0.0,5.71,1.86
2006,1,9,19,0.0,4.31,1.84
2006,1,9,20,0.0,3.33,1.74
2006,1,9,21,0.0,2.45,1.57
2006,1,9,22,0.0,1.58,1.5
2006,1,9,23,0.0,1.03,1.44
2006,1,10,0,0.0,0.58,1.38
2006,1,10,1,0.0,0.14,1.31
2006,1,10,2,0.0,-0.31,1.24
2006,1,10,3,0.0,-0.64,1.17
2006,1,10,4,0.0,-0.86,1.14
2006,1,10,5,0.0,-1.1,1.12
2006,1,10,6,0.0,-1.26,1.13
2006,1,10,7,16.08,-0.95,1.18
2006,1,10,8,138.2,1.49,1.42
2006,1,10,9,288.52,3.22,1.4
2006,1,10,10,388.88,5.06,1.46
2006,1,10,11,444.92,6.03,1.27
2006,1,10,12,443.02,6.66,1.04
2006,1,10,13,382.17,6.96,0.79
2006,1,10,14,276.27,6.79,0.73
2006,1,10,15,131.62,5.66,0.67
2006,1,10,16,16.58,3.56,1.13
2006,1,10,17,0.0,2.4,1.3
