YEAR,MO,DY,HR,GHI_W/m2,Temp_C,WindSpeed_m/s
2006,1,1,0,0.0,3.32,0.44
2006,1,1,1,0.0,2.77,0.44
2006,1,1,2,0.0,2.13,0.41
2006,1,1,3,0.0,1.64,0.4
2006,1,1,4,0.0,0.9,0.4
2006,1,1,5,0.0,0.42,0.41
2006,1,1,6,0.0,0.1,0.38
2006,1,1,7,6.07,0.31,0.67
2006,1,1,8,108.53,3.48,0.33
2006,1,1,9,267.08,5.93,0.32
2006,1,1,10,401.15,9.03,0.13
2006,1,1,11,510.15,13.1,0.09
2006,1,1,12,507.75,14.9,0.1
2006,1,1,13,502.67,15.46,0.21
2006,1,1,14,419.5,15.24,0.31
2006,1,1,15,266.1,14.73,0.35
2006,1,1,16,102.28,11.57,0.53
2006,1,1,17,0.0,8.1,0.98
2006,1,1,18,0.0,6.6,0.7
2006,1,1,19,0.0,6.21,0.41
2006,1,1,20,0.0,6.41,0.43
2006,1,1,21,0.0,6.66,0.45
2006,1,1,22,0.0,6.68,0.44
2006,1,1,23,0.0,6.47,0.38
2006,1,2,0,0.0,6.55,0.35
2006,1,2,1,0.0,6.09,0.33
2006,1,2,2,0.0,6.31,0.55
2006,1,2,3,0.0,6.39,0.54
2006,1,2,4,0.0,6.37,0.48
2006,1,2,5,0.0,6.5,0.51
2006,1,2,6,0.0,6.79,0.51
2006,1,2,7,3.72,7.08,0.45
2006,1,2,8,19.0,7.79,0.61
2006,1,2,9,50.25,9.13,0.92
2006,1,2,10,27.83,10.97,1.25
2006,1,2,11,53.38,12.79,1.35
2006,1,2,12,95.82,14.44,1.39
2006,1,2,13,77.9,15.29,1.29
2006,1,2,14,42.95,15.83,1.18
2006,1,2,15,40.0,16.18,1.14
2006,1,2,16,26.17,16.24,0.97
2006,1,2,17,0.0,16.06,0.85
2006,1,2,18,0.0,16.01,0.84
2006,1,2,19,0.0,16.07,0.86
2006,1,2,20,0.0,16.2,0.85
2006,1,2,21,0.0,16.09,0.68
2006,1,2,22,0.0,16.14,0.61
2006,1,2,23,0.0,16.21,0.63
2006,1,3,0,0.0,16.17,0.74
2006,1,3,1,0.0,15.78,0.7
2006,1,3,2,0.0,15.24,0.7
2006,1,3,3,0.0,14.24,0.62
2006,1,3,4,0.0,13.21,0.57
