YEAR,MO,DY,HR,GHI_W/m2,Temp_C,WindSpeed_m/s
2006,1,1,0,0.0,-1.1,0.56
2006,1,1,1,0.0,-1.35,0.56
2006,1,1,2,0.0,-1.05,0.54
2006,1,1,3,0.0,-1.72,0.28
2006,1,1,4,0.0,-0.76,0.17
2006,1,1,5,0.0,-0.65,0.14
2006,1,1,6,0.0,-0.74,0.13
2006,1,1,7,0.0,-0.69,0.15
2006,1,1,8,32.8,-0.28,0.17
2006,1,1,9,121.85,0.91,0.19
2006,1,1,10,204.38,2.71,0.19
2006,1,1,11,300.65,4.72,0.19
2006,1,1,12,358.2,5.78,0.19
2006,1,1,13,389.8,6.04,0.2
2006,1,1,14,346.95,6.9,0.24
2006,1,1,15,222.85,7.42,0.26
2006,1,1,16,81.1,5.38,0.16
2006,1,1,17,0.0,2.56,0.21
2006,1,1,18,0.0,3.3,0.27
2006,1,1,19,0.0,2.16,0.23
2006,1,1,20,0.0,2.32,0.27
2006,1,1,21,0.0,2.61,0.28
2006,1,1,22,0.0,2.91,0.28
2006,1,1,23,0.0,2.9,0.27
2006,1,2,0,0.0,3.0,0.27
2006,1,2,1,0.0,4.33,0.39
2006,1,2,2,0.0,5.63,0.42
2006,1,2,3,0.0,6.25,0.41
2006,1,2,4,0.0,6.81,0.42
2006,1,2,5,0.0,7.13,0.37
2006,1,2,6,0.0,6.93,0.29
2006,1,2,7,0.0,6.75,0.21
2006,1,2,8,18.45,6.54,0.14
2006,1,2,9,33.83,7.45,0.13
2006,1,2,10,110.12,8.57,0.24
2006,1,2,11,138.52,9.74,0.42
2006,1,2,12,151.75,11.43,0.48
2006,1,2,13,153.9,12.66,0.43
2006,1,2,14,164.27,12.6,0.36
2006,1,2,15,64.38,12.15,0.33
2006,1,2,16,38.17,11.31,0.31
2006,1,2,17,0.0,10.79,0.33
2006,1,2,18,0.0,10.42,0.28
2006,1,2,19,0.0,10.02,0.26
2006,1,2,20,0.0,9.81,0.26
2006,1,2,21,0.0,10.13,0.32
2006,1,2,22,0.0,10.69,0.32
2006,1,2,23,0.0,11.15,0.33
2006,1,3,0,0.0,10.54,0.37
2006,1,3,1,0.0,9.33,0.38
2006,1,3,2,0.0,8.34,0.35
2006,1,3,3,0.0,7.98,0.35
2006,1,3,4,0.0,7.77,0.32
2006,1,3,5,0.0,7.43,0.31
2006,1,3,6,0.0,7.15,0.32
2006,1,3,7,0.0,7.15,0.34
2006,1,3,8,6.9,7.23,0.32
2006,1,3,9,18.98,7.33,0.32
2006,1,3,10,40.33,7.3,0.35
2006,1,3,11,71.8,7.22,0.38
2006,1,3,12,53.12,7.16,0.39
2006,1,3,13,67.2,7.12,0.34
2006,1,3,14,40.17,7.07,0.28
2006,1,3,15,22.3,6.97,0.24
2006,1,3,16,25.95,6.76,0.2
2006,1,3,17,0.0,6.53,0.2
2006,1,3,18,0.0,6.49,0.18
2006,1,3,19,0.0,6.38,0.15
2006,1,3,20,0.0,6.41,0.19
2006,1,3,21,0.0,6.38,0.18
2006,1,3,22,0.0,6.34,0.19
2006,1,3,23,0.0,6.31,0.19
2006,1,4,0,0.0,6.27,0.2
2006,1,4,1,0.0,6.08,0.19
2006,1,4,2,0.0,5.85,0.19
