YEAR,MO,DY,HR,GHI_W/m2,Temp_C,WindSpeed_m/s
2006,1,1,0,0.0,11.18,1.91
2006,1,1,1,0.0,9.68,1.86
2006,1,1,2,0.0,8.58,1.91
2006,1,1,3,0.0,7.91,1.81
2006,1,1,4,0.0,7.67,1.72
2006,1,1,5,0.0,7.9,1.65
2006,1,1,6,0.0,6.59,1.53
2006,1,1,7,16.17,6.87,1.59
2006,1,1,8,163.98,7.84,1.26
2006,1,1,9,341.42,9.64,0.89
2006,1,1,10,438.27,12.26,0.88
2006,1,1,11,545.78,14.15,1.02
2006,1,1,12,564.1,15.11,0.98
2006,1,1,13,518.9,15.44,0.88
2006,1,1,14,415.33,15.39,0.71
2006,1,1,15,265.08,15.4,0.62
2006,1,1,16,91.78,14.18,0.86
2006,1,1,17,0.0,12.9,1.23
2006,1,1,18,0.0,11.85,1.59
2006,1,1,19,0.0,10.94,1.78
2006,1,1,20,0.0,10.48,1.83
2006,1,1,21,0.0,10.39,1.84
2006,1,1,22,0.0,10.52,1.8
2006,1,1,23,0.0,10.77,1.75
2006,1,2,0,0.0,11.01,1.62
2006,1,2,1,0.0,11.48,1.71
2006,1,2,2,0.0,12.04,1.88
2006,1,2,3,0.0,12.18,1.56
2006,1,2,4,0.0,12.35,1.39
2006,1,2,5,0.0,12.25,1.32
2006,1,2,6,0.0,12.59,1.55
2006,1,2,7,4.55,13.35,1.77
2006,1,2,8,19.33,14.53,1.79
2006,1,2,9,105.5,15.42,1.55
2006,1,2,10,181.55,16.43,1.47
2006,1,2,11,185.98,17.67,1.45
2006,1,2,12,136.18,18.68,1.49
2006,1,2,13,129.2,19.39,1.92
2006,1,2,14,100.25,19.54,2.21
2006,1,2,15,31.9,19.24,2.86
2006,1,2,16,28.42,18.95,3.1
2006,1,2,17,0.0,18.62,2.97
2006,1,2,18,0.0,18.36,2.82
2006,1,2,19,0.0,18.24,2.81
2006,1,2,20,0.0,18.07,2.52
2006,1,2,21,0.0,18.06,2.83
2006,1,2,22,0.0,18.07,3.13
2006,1,2,23,0.0,18.07,3.43
2006,1,3,0,0.0,17.99,3.27
2006,1,3,1,0.0,17.75,2.95
2006,1,3,2,0.0,17.46,2.78
2006,1,3,3,0.0,17.24,2.68
2006,1,3,4,0.0,17.09,2.72
2006,1,3,5,0.0,16.67,2.4
2006,1,3,6,0.0,16.18,2.29
2006,1,3,7,9.18,16.03,2.32
2006,1,3,8,69.88,16.49,2.46
2006,1,3,9,142.43,16.77,2.6
2006,1,3,10,179.45,17.03,2.73
2006,1,3,11,220.98,17.41,2.7
2006,1,3,12,229.23,17.32,2.61
2006,1,3,13,357.75,17.11,2.56
2006,1,3,14,354.98,16.77,2.75
2006,1,3,15,243.75,15.8,2.84
2006,1,3,16,88.05,14.54,2.54
2006,1,3,17,0.0,13.02,2.09
2006,1,3,18,0.0,12.07,1.91
2006,1,3,19,0.0,11.39,1.74
2006,1,3,20,0.0,10.51,1.64
2006,1,3,21,0.0,10.08,1.64
2006,1,3,22,0.0,9.82,1.71
2006,1,3,23,0.0,9.63,1.76
2006,1,4,0,0.0,9.62,1.72
2006,1,4,1,0.0,9.28,1.65
2006,1,4,2,0.0,8.67,1.64
2006,1,4,3,0.0,7.88,1.76
2006,1,4,4,0.0,7.19,1.85
2006,1,4,5,0.0,6.6,1.88
2006,1,4,6,0.0,6.11,1.79
2006,1,4,7,13.55,6.02,1.78
2006,1,4,8,74.35,7.01,1.77
2006,1,4,9,152.75,8.68,1.56
2006,1,4,10,220.15,10.28,1.32
2006,1,4,11,267.88,11.66,1.09
2006,1,4,12,398.0,12.91,0.78
2006,1,4,13,378.85,13.87,0.47
2006,1,4,14,338.3,14.13,0.08
2006,1,4,15,242.98,13.83,0.48
2006,1,4,16,80.22,12.37,0.94
2006,1,4,17,0.0,10.32,1.46
2006,1,4,18,0.0,10.19,1.8
2006,1,4,19,0.0,11.05,2.04
2006,1,4,20,0.0,11.85,2.03
2006,1,4,21,0.0,12.2,2.02
2006,1,4,22,0.0,12.88,2.14
2006,1,4,23,0.0,13.38,2.22
2006,1,5,0,0.0,13.3,2.25
2006,1,5,1,0.0,13.06,2.24
2006,1,5,2,0.0,12.94,2.22
2006,1,5,3,0.0,12.98,2.17
2006,1,5,4,0.0,13.01,2.1
2006,1,5,5,0.0,12.94,1.98
2006,1,5,6,0.0,12.73,1.88
2006,1,5,7,8.75,12.56,1.79
2006,1,5,8,134.7,13.08,1.63
2006,1,5,9,293.7,13.73,1.52
2006,1,5,10,448.7,14.28,1.27
2006,1,5,11,534.9,14.68,1.03
2006,1,5,12,565.47,15.75,1.01
2006,1,5,13,520.35,16.88,1.19
2006,1,5,14,391.7,17.14,1.48
2006,1,5,15,249.8,16.74,1.67
2006,1,5,16,82.88,15.43,1.63
2006,1,5,17,0.0,13.27,1.75
2006,1,5,18,0.0,13.28,1.85
2006,1,5,19,0.0,13.11,1.86
2006,1,5,20,0.0,12.82,1.78
2006,1,5,21,0.0,12.57,1.6
