YEAR,MO,DY,HR,GHI_W/m2,Temp_C,WindSpeed_m/s
2006,1,1,0,0.0,11.79,0.51
2006,1,1,1,0.0,11.14,0.66
2006,1,1,2,0.0,10.65,0.67
2006,1,1,3,0.0,10.37,0.66
2006,1,1,4,0.0,10.11,0.72
2006,1,1,5,0.0,9.68,0.69
2006,1,1,6,0.0,9.25,0.71
2006,1,1,7,12.52,9.05,0.68
2006,1,1,8,131.57,10.38,0.66
2006,1,1,9,293.05,11.97,0.52
2006,1,1,10,429.95,14.48,0.38
2006,1,1,11,483.02,16.79,0.44
2006,1,1,12,498.42,17.86,0.51
2006,1,1,13,338.17,17.79,0.6
2006,1,1,14,280.9,17.1,0.68
2006,1,1,15,181.05,15.88,0.68
2006,1,1,16,65.53,14.4,0.72
2006,1,1,17,3.83,13.33,0.81
2006,1,1,18,0.0,12.93,0.81
2006,1,1,19,0.0,12.9,0.76
2006,1,1,20,0.0,13.04,0.66
2006,1,1,21,0.0,13.36,0.62
2006,1,1,22,0.0,13.81,0.65
2006,1,1,23,0.0,14.29,0.68
2006,1,2,0,0.0,14.79,0.75
2006,1,2,1,0.0,15.27,0.78
2006,1,2,2,0.0,15.63,0.75
2006,1,2,3,0.0,15.7,0.68
2006,1,2,4,0.0,15.67,0.69
2006,1,2,5,0.0,15.75,0.78
2006,1,2,6,0.0,15.83,0.82
2006,1,2,7,3.53,15.97,0.87
2006,1,2,8,24.05,16.56,0.84
2006,1,2,9,40.17,17.02,0.76
2006,1,2,10,108.12,17.4,0.83
2006,1,2,11,126.93,18.09,0.92
2006,1,2,12,121.03,18.75,1.0
2006,1,2,13,144.43,18.91,1.07
2006,1,2,14,74.68,19.07,1.19
2006,1,2,15,43.05,19.02,1.08
2006,1,2,16,28.3,18.7,1.16
2006,1,2,17,1.42,18.45,1.26
2006,1,2,18,0.0,18.41,1.28
2006,1,2,19,0.0,18.35,1.32
2006,1,2,20,0.0,18.35,1.46
2006,1,2,21,0.0,18.22,1.54
2006,1,2,22,0.0,18.24,1.38
2006,1,2,23,0.0,18.3,1.32
2006,1,3,0,0.0,18.21,1.3
2006,1,3,1,0.0,17.91,1.22
2006,1,3,2,0.0,17.46,1.13
2006,1,3,3,0.0,17.0,1.08
2006,1,3,4,0.0,16.59,1.08
2006,1,3,5,0.0,16.25,1.1
2006,1,3,6,0.0,15.9,1.09
2006,1,3,7,10.73,15.34,1.02
2006,1,3,8,135.88,15.39,1.23
2006,1,3,9,306.7,15.65,1.46
2006,1,3,10,442.25,16.12,1.6
2006,1,3,11,541.97,16.58,1.69
2006,1,3,12,571.25,17.01,1.67
2006,1,3,13,530.88,17.3,1.61
2006,1,3,14,437.25,17.31,1.52
2006,1,3,15,290.8,16.92,1.38
2006,1,3,16,123.18,16.03,1.11
2006,1,3,17,6.72,14.76,0.92
2006,1,3,18,0.0,13.72,1.0
2006,1,3,19,0.0,12.49,1.06
2006,1,3,20,0.0,11.55,1.09
2006,1,3,21,0.0,10.84,1.17
2006,1,3,22,0.0,10.32,1.2
2006,1,3,23,0.0,9.75,1.18
2006,1,4,0,0.0,9.15,1.14
2006,1,4,1,0.0,8.49,1.09
2006,1,4,2,0.0,7.93,1.06
2006,1,4,3,0.0,7.53,1.06
2006,1,4,4,0.0,7.42,1.02
2006,1,4,5,0.0,7.35,0.89
2006,1,4,6,0.0,7.43,0.76
2006,1,4,7,12.2,7.37,0.7
2006,1,4,8,151.07,8.98,0.47
2006,1,4,9,329.42,11.25,0.28
2006,1,4,10,472.67,14.3,0.18
2006,1,4,11,564.53,16.72,0.3
2006,1,4,12,600.45,17.66,0.38
2006,1,4,13,564.4,18.07,0.4
2006,1,4,14,448.52,18.1,0.41
2006,1,4,15,298.42,17.63,0.44
2006,1,4,16,117.38,16.22,0.42
2006,1,4,17,7.12,13.35,0.64
2006,1,4,18,0.0,12.56,0.73
2006,1,4,19,0.0,12.58,0.99
2006,1,4,20,0.0,12.6,1.14
2006,1,4,21,0.0,12.43,1.15
2006,1,4,22,0.0,12.13,1.14
2006,1,4,23,0.0,11.65,1.11
2006,1,5,0,0.0,11.42,1.11
2006,1,5,1,0.0,11.0,1.14
2006,1,5,2,0.0,11.01,1.16
2006,1,5,3,0.0,11.01,1.15
2006,1,5,4,0.0,10.95,1.11
2006,1,5,5,0.0,10.8,1.08
2006,1,5,6,0.0,10.7,1.07
2006,1,5,7,4.28,10.71,1.05
2006,1,5,8,113.2,11.55,1.12
2006,1,5,9,256.67,12.92,1.05
2006,1,5,10,419.38,14.21,0.98
2006,1,5,11,540.85,15.58,0.92
2006,1,5,12,589.53,17.42,0.87
2006,1,5,13,549.72,18.6,0.95
2006,1,5,14,452.8,18.96,1.0
2006,1,5,15,306.08,18.71,0.95
2006,1,5,16,129.32,17.69,0.76
2006,1,5,17,7.53,15.78,0.81
2006,1,5,18,0.0,15.72,0.87
2006,1,5,19,0.0,15.45,0.92
2006,1,5,20,0.0,14.67,1.2
2006,1,5,21,0.0,13.15,1.66
2006,1,5,22,0.0,11.02,1.93
2006,1,5,23,0.0,9.36,1.91
2006,1,6,0,0.0,8.14,1.88
2006,1,6,1,0.0,7.22,1.8
2006,1,6,2,0.0,6.52,1.67
2006,1,6,3,0.0,6.03,1.63
2006,1,6,4,0.0,5.82,1.56
2006,1,6,5,0.0,5.66,1.46
2006,1,6,6,0.0,5.41,1.42
2006,1,6,7,9.98,5.21,1.35
2006,1,6,8,132.73,6.35,1.41
2006,1,6,9,290.65,7.99,1.63
2006,1,6,10,441.73,9.38,1.66
2006,1,6,11,552.38,10.4,1.57
2006,1,6,12,483.77,11.04,1.52
2006,1,6,13,379.15,11.26,1.53
2006,1,6,14,275.85,11.02,1.57
2006,1,6,15,180.25,10.7,1.59
2006,1,6,16,75.55,9.9,1.46
2006,1,6,17,4.22,8.44,1.34
2006,1,6,18,0.0,7.97,1.37
2006,1,6,19,0.0,7.39,1.36
2006,1,6,20,0.0,7.04,1.4
2006,1,6,21,0.0,6.51,1.41
2006,1,6,22,0.0,5.72,1.45
2006,1,6,23,0.0,4.6,1.49
2006,1,7,0,0.0,3.56,1.53
2006,1,7,1,0.0,2.74,1.51
2006,1,7,2,0.0,2.04,1.39
2006,1,7,3,0.0,1.35,1.25
2006,1,7,4,0.0,0.7,1.13
2006,1,7,5,0.0,0.3,1.13
2006,1,7,6,0.0,-0.05,1.18
2006,1,7,7,12.35,-0.23,1.25
2006,1,7,8,145.55,0.94,1.29
2006,1,7,9,309.12,2.43,1.11
2006,1,7,10,465.17,3.59,1.04
2006,1,7,11,433.65,5.44,1.21
2006,1,7,12,364.77,7.25,1.33
2006,1,7,13,376.27,8.21,1.34
2006,1,7,14,367.6,8.55,1.4
2006,1,7,15,274.5,8.61,1.37
2006,1,7,16,117.0,7.72,1.16
2006,1,7,17,8.57,4.71,1.15
2006,1,7,18,0.0,3.91,1.31
2006,1,7,19,0.0,3.77,1.44
2006,1,7,20,0.0,3.67,1.46
2006,1,7,21,0.0,3.58,1.41
2006,1,7,22,0.0,3.27,1.33
2006,1,7,23,0.0,2.94,1.31
2006,1,8,0,0.0,2.69,1.29
2006,1,8,1,0.0,2.44,1.26
2006,1,8,2,0.0,2.2,1.22
2006,1,8,3,0.0,1.87,1.18
2006,1,8,4,0.0,1.45,1.13
2006,1,8,5,0.0,0.8,1.07
2006,1,8,6,0.0,0.32,1.03
2006,1,8,7,12.75,0.52,1.0
2006,1,8,8,146.6,3.12,0.86
2006,1,8,9,333.15,5.64,0.61
2006,1,8,10,489.98,9.39,0.88
2006,1,8,11,585.9,11.47,1.02
2006,1,8,12,621.5,12.87,1.12
2006,1,8,13,580.38,13.7,1.07
2006,1,8,14,486.45,14.04,0.96
2006,1,8,15,333.7,13.8,0.89
2006,1,8,16,150.4,12.42,0.78
2006,1,8,17,10.7,9.23,1.19
2006,1,8,18,0.0,9.47,1.47
2006,1,8,19,0.0,9.32,1.38
2006,1,8,20,0.0,9.01,1.37
2006,1,8,21,0.0,8.96,1.37
2006,1,8,22,0.0,8.91,1.34
2006,1,8,23,0.0,8.75,1.32
2006,1,9,0,0.0,8.48,1.3
2006,1,9,1,0.0,7.99,1.28
2006,1,9,2,0.0,7.5,1.23
2006,1,9,3,0.0,6.97,1.19
2006,1,9,4,0.0,6.72,1.15
2006,1,9,5,0.0,6.75,1.13
2006,1,9,6,0.0,6.65,1.12
2006,1,9,7,12.4,6.75,1.1
2006,1,9,8,158.4,9.05,1.07
2006,1,9,9,334.48,11.34,0.97
2006,1,9,10,476.77,13.72,0.68
2006,1,9,11,568.47,15.79,0.62
2006,1,9,12,597.85,17.88,0.69
2006,1,9,13,562.53,19.07,0.67
2006,1,9,14,460.48,19.3,0.64
2006,1,9,15,317.42,18.95,0.59
2006,1,9,16,150.3,17.29,0.51
2006,1,9,17,11.18,13.71,0.66
2006,1,9,18,0.0,12.55,0.71
2006,1,9,19,0.0,12.13,0.81
2006,1,9,20,0.0,11.87,0.83
2006,1,9,21,0.0,11.14,0.78
2006,1,9,22,0.0,10.73,0.78
2006,1,9,23,0.0,10.38,0.78
2006,1,10,0,0.0,10.0,0.77
2006,1,10,1,0.0,9.7,0.78
2006,1,10,2,0.0,9.37,0.88
2006,1,10,3,0.0,9.16,0.9
2006,1,10,4,0.0,9.29,0.9
2006,1,10,5,0.0,9.83,0.92
2006,1,10,6,0.0,10.77,0.75
2006,1,10,7,12.12,11.37,0.36
2006,1,10,8,152.2,12.39,0.37
2006,1,10,9,328.7,14.18,0.39
2006,1,10,10,464.62,16.69,0.46
2006,1,10,11,581.2,18.49,0.67
2006,1,10,12,608.72,19.07,0.71
2006,1,10,13,551.12,19.2,0.74
2006,1,10,14,435.52,18.95,0.75
2006,1,10,15,307.7,18.2,0.74
2006,1,10,16,136.7,16.82,0.65
2006,1,10,17,10.18,13.99,0.67
2006,1,10,18,0.0,13.74,0.82
2006,1,10,19,0.0,13.85,0.79
2006,1,10,20,0.0,13.86,0.81
2006,1,10,21,0.0,13.91,0.81
2006,1,10,22,0.0,14.15,0.81
2006,1,10,23,0.0,14.69,0.79
2006,1,11,0,0.0,14.97,0.76
2006,1,11,1,0.0,15.09,0.77
2006,1,11,2,0.0,15.25,0.79
2006,1,11,3,0.0,15.33,0.78
2006,1,11,4,0.0,15.28,0.76
2006,1,11,5,0.0,15.21,0.74
2006,1,11,6,0.0,15.16,0.74
2006,1,11,7,5.57,15.16,0.73
2006,1,11,8,66.3,15.71,0.7
2006,1,11,9,126.2,16.71,0.74
2006,1,11,10,213.25,18.2,0.76
2006,1,11,11,260.45,19.32,0.81
2006,1,11,12,317.65,19.76,0.85
2006,1,11,13,399.5,19.96,0.83
2006,1,11,14,310.4,19.97,0.76
2006,1,11,15,192.12,19.64,0.68
2006,1,11,16,96.57,18.87,0.52
2006,1,11,17,9.77,16.61,0.51
2006,1,11,18,0.0,15.54,0.55
2006,1,11,19,0.0,14.92,0.57
2006,1,11,20,0.0,14.48,0.58
2006,1,11,21,0.0,14.08,0.6
2006,1,11,22,0.0,13.74,0.61
2006,1,11,23,0.0,13.37,0.61
2006,1,12,0,0.0,12.99,0.6
2006,1,12,1,0.0,12.71,0.59
2006,1,12,2,0.0,12.44,0.56
2006,1,12,3,0.0,12.15,0.62
2006,1,12,4,0.0,12.05,0.84
2006,1,12,5,0.0,12.11,0.92
2006,1,12,6,0.0,12.2,0.95
2006,1,12,7,11.05,12.4,0.9
2006,1,12,8,143.45,14.38,0.36
2006,1,12,9,307.45,16.18,0.22
2006,1,12,10,430.98,19.11,0.36
2006,1,12,11,535.42,20.86,0.52
2006,1,12,12,560.47,21.45,0.6
2006,1,12,13,528.2,21.62,0.65
