YEAR,MO,DY,HR,GHI_W/m2,Temp_C,WindSpeed_m/s
2006,1,1,0,0.0,1.76,3.33
2006,1,1,1,0.0,1.61,3.25
2006,1,1,2,0.0,1.54,3.38
2006,1,1,3,0.0,1.56,3.36
2006,1,1,4,0.0,1.71,3.4
2006,1,1,5,0.0,1.7,3.46
2006,1,1,6,0.0,1.56,3.33
2006,1,1,7,8.05,1.5,3.11
2006,1,1,8,70.07,2.05,3.23
2006,1,1,9,142.32,2.74,2.96
2006,1,1,10,210.88,3.5,2.56
2006,1,1,11,197.57,4.0,2.26
2006,1,1,12,252.65,4.5,2.32
2006,1,1,13,151.1,5.17,2.4
2006,1,1,14,110.2,5.43,2.27
2006,1,1,15,79.28,5.31,1.74
2006,1,1,16,9.93,4.81,1.68
2006,1,1,17,0.0,4.77,1.74
2006,1,1,18,0.0,4.78,1.59
2006,1,1,19,0.0,4.75,1.48
2006,1,1,20,0.0,4.56,1.48
2006,1,1,21,0.0,4.13,1.96
2006,1,1,22,0.0,3.69,2.57
2006,1,1,23,0.0,3.55,2.88
2006,1,2,0,0.0,3.31,3.01
2006,1,2,1,0.0,3.27,2.95
2006,1,2,2,0.0,3.15,2.9
2006,1,2,3,0.0,3.1,2.69
2006,1,2,4,0.0,3.12,2.22
2006,1,2,5,0.0,3.2,1.63
2006,1,2,6,0.0,3.36,0.93
2006,1,2,7,8.43,3.62,0.23
2006,1,2,8,60.88,4.3,0.81
2006,1,2,9,140.1,5.21,1.98
2006,1,2,10,205.07,6.37,2.16
2006,1,2,11,238.73,7.15,1.99
2006,1,2,12,122.78,7.07,1.9
2006,1,2,13,107.03,7.11,3.06
2006,1,2,14,32.45,7.0,3.05
2006,1,2,15,46.9,6.47,3.18
2006,1,2,16,6.18,6.39,3.97
2006,1,2,17,0.0,6.51,4.69
2006,1,2,18,0.0,6.54,5.04
2006,1,2,19,0.0,6.48,4.93
2006,1,2,20,0.0,5.99,6.18
2006,1,2,21,0.0,5.48,6.84
2006,1,2,22,0.0,5.35,7.61
2006,1,2,23,0.0,5.25,8.62
2006,1,3,0,0.0,5.01,9.72
2006,1,3,1,0.0,4.74,10.3
2006,1,3,2,0.0,3.91,10.98
2006,1,3,3,0.0,3.3,11.25
2006,1,3,4,0.0,3.34,11.57
2006,1,3,5,0.0,3.74,11.97
2006,1,3,6,0.0,3.83,11.84
2006,1,3,7,7.0,3.61,11.27
2006,1,3,8,25.1,3.61,10.82
2006,1,3,9,37.1,3.65,10.56
2006,1,3,10,67.88,3.64,10.29
2006,1,3,11,63.55,3.59,9.96
2006,1,3,12,76.35,3.58,9.72
2006,1,3,13,75.47,3.44,9.64
2006,1,3,14,67.32,3.12,9.53
2006,1,3,15,50.92,2.71,9.51
2006,1,3,16,10.62,2.45,9.13
2006,1,3,17,0.0,2.52,8.69
2006,1,3,18,0.0,2.71,8.49
2006,1,3,19,0.0,2.74,8.31
2006,1,3,20,0.0,2.54,8.11
2006,1,3,21,0.0,2.23,7.75
2006,1,3,22,0.0,1.9,7.4
2006,1,3,23,0.0,1.45,7.16
2006,1,4,0,0.0,0.95,6.85
2006,1,4,1,0.0,0.57,6.51
2006,1,4,2,0.0,0.26,6.1
2006,1,4,3,0.0,-0.02,5.67
2006,1,4,4,0.0,-0.35,5.45
2006,1,4,5,0.0,-0.6,5.48
2006,1,4,6,0.0,-0.7,5.43
2006,1,4,7,9.43,-0.75,5.31
2006,1,4,8,109.6,-0.31,5.22
2006,1,4,9,230.93,0.32,4.78
2006,1,4,10,274.85,1.01,4.21
2006,1,4,11,317.98,1.63,3.47
2006,1,4,12,366.83,2.08,2.78
2006,1,4,13,350.27,2.32,2.08
2006,1,4,14,195.65,2.36,2.4
2006,1,4,15,93.78,2.41,1.97
2006,1,4,16,12.45,2.08,1.65
2006,1,4,17,0.0,2.0,1.75
2006,1,4,18,0.0,2.2,1.94
2006,1,4,19,0.0,2.55,2.0
2006,1,4,20,0.0,2.76,1.86
2006,1,4,21,0.0,2.89,2.09
2006,1,4,22,0.0,3.16,2.66
2006,1,4,23,0.0,3.5,3.2
2006,1,5,0,0.0,3.73,3.56
2006,1,5,1,0.0,3.83,3.76
2006,1,5,2,0.0,4.0,3.89
2006,1,5,3,0.0,4.24,3.98
2006,1,5,4,0.0,4.49,4.05
2006,1,5,5,0.0,4.69,4.21
2006,1,5,6,0.0,4.76,4.3
2006,1,5,7,5.12,4.63,4.26
2006,1,5,8,57.35,4.8,4.39
2006,1,5,9,137.55,5.03,4.35
2006,1,5,10,232.77,5.37,4.37
2006,1,5,11,349.77,6.09,4.53
2006,1,5,12,321.35,7.09,4.54
2006,1,5,13,281.42,7.86,4.04
2006,1,5,14,183.98,8.06,3.19
2006,1,5,15,100.93,7.68,2.57
2006,1,5,16,16.42,6.46,2.35
2006,1,5,17,0.0,5.87,2.22
2006,1,5,18,0.0,5.53,2.37
2006,1,5,19,0.0,5.22,2.71
2006,1,5,20,0.0,4.84,2.9
2006,1,5,21,0.0,4.29,2.97
2006,1,5,22,0.0,3.62,3.11
2006,1,5,23,0.0,3.06,3.37
2006,1,6,0,0.0,2.64,3.55
2006,1,6,1,0.0,2.34,3.52
2006,1,6,2,0.0,2.15,3.54
2006,1,6,3,0.0,1.99,3.56
2006,1,6,4,0.0,1.85,3.67
2006,1,6,5,0.0,1.84,3.89
2006,1,6,6,0.0,1.79,4.09
2006,1,6,7,7.38,2.06,4.17
2006,1,6,8,67.85,3.02,4.8
2006,1,6,9,159.15,3.33,5.16
2006,1,6,10,210.45,3.28,5.5
2006,1,6,11,251.2,3.26,5.73
2006,1,6,12,263.52,3.45,5.99
2006,1,6,13,216.93,3.71,6.16
2006,1,6,14,146.18,3.84,6.17
2006,1,6,15,79.3,3.65,6.22
2006,1,6,16,10.95,2.83,6.16
2006,1,6,17,0.0,2.08,6.1
2006,1,6,18,0.0,1.67,5.99
2006,1,6,19,0.0,1.25,5.93
2006,1,6,20,0.0,0.87,6.15
2006,1,6,21,0.0,0.33,5.97
2006,1,6,22,0.0,-0.21,5.75
2006,1,6,23,0.0,-0.6,5.81
2006,1,7,0,0.0,-0.85,5.9
2006,1,7,1,0.0,-1.11,5.83
2006,1,7,2,0.0,-1.39,5.65
2006,1,7,3,0.0,-1.6,5.52
2006,1,7,4,0.0,-1.81,5.39
2006,1,7,5,0.0,-2.03,5.23
2006,1,7,6,0.0,-2.16,5.07
2006,1,7,7,14.38,-2.11,4.81
2006,1,7,8,148.95,-1.52,4.85
2006,1,7,9,302.05,-1.0,4.45
2006,1,7,10,399.17,-0.46,3.83
2006,1,7,11,439.38,0.02,3.32
2006,1,7,12,445.95,0.53,3.14
2006,1,7,13,387.6,0.98,3.19
2006,1,7,14,301.5,1.28,3.16
2006,1,7,15,155.55,1.34,2.93
2006,1,7,16,21.38,0.89,2.88
2006,1,7,17,0.0,0.74,3.19
2006,1,7,18,0.0,1.0,3.64
2006,1,7,19,0.0,1.29,4.13
2006,1,7,20,0.0,1.41,4.45
2006,1,7,21,0.0,1.41,4.52
2006,1,7,22,0.0,1.41,4.58
2006,1,7,23,0.0,1.58,4.65
2006,1,8,0,0.0,1.81,4.7
2006,1,8,1,0.0,2.15,4.6
2006,1,8,2,0.0,2.49,4.47
2006,1,8,3,0.0,2.9,4.5
2006,1,8,4,0.0,3.26,4.78
2006,1,8,5,0.0,3.37,4.99
2006,1,8,6,0.0,3.2,5.0
2006,1,8,7,7.22,2.92,4.8
2006,1,8,8,100.5,3.02,4.74
2006,1,8,9,221.93,3.06,4.52
2006,1,8,10,334.12,3.64,4.04
2006,1,8,11,403.1,4.78,3.9
2006,1,8,12,378.83,5.61,3.9
2006,1,8,13,298.35,6.0,3.57
2006,1,8,14,238.3,6.11,3.02
2006,1,8,15,98.45,5.55,2.27
2006,1,8,16,15.4,5.47,1.55
2006,1,8,17,0.0,5.27,1.35
2006,1,8,18,0.0,4.75,2.24
2006,1,8,19,0.0,4.57,2.91
2006,1,8,20,0.0,4.68,3.44
2006,1,8,21,0.0,4.95,3.64
2006,1,8,22,0.0,5.21,3.74
2006,1,8,23,0.0,5.4,3.93
2006,1,9,0,0.0,5.68,4.35
2006,1,9,1,0.0,5.96,4.69
2006,1,9,2,0.0,6.24,4.92
2006,1,9,3,0.0,6.46,5.19
2006,1,9,4,0.0,6.54,5.51
2006,1,9,5,0.0,6.14,5.65
2006,1,9,6,0.0,5.38,5.45
2006,1,9,7,8.62,4.93,5.04
2006,1,9,8,102.0,5.6,4.75
2006,1,9,9,221.0,6.49,4.58
2006,1,9,10,309.15,7.67,4.89
2006,1,9,11,385.27,8.76,4.95
2006,1,9,12,262.98,9.85,5.22
2006,1,9,13,235.15,10.67,5.02
2006,1,9,14,248.0,11.08,4.9
2006,1,9,15,121.7,10.87,4.66
2006,1,9,16,18.35,9.99,4.24
2006,1,9,17,0.0,9.31,3.89
2006,1,9,18,0.0,8.58,3.58
2006,1,9,19,0.0,7.78,3.75
2006,1,9,20,0.0,6.83,3.87
2006,1,9,21,0.0,6.04,3.88
2006,1,9,22,0.0,5.46,4.09
2006,1,9,23,0.0,5.0,4.27
2006,1,10,0,0.0,4.6,4.26
2006,1,10,1,0.0,4.24,4.14
2006,1,10,2,0.0,3.88,3.98
2006,1,10,3,0.0,3.55,3.81
2006,1,10,4,0.0,3.23,3.68
2006,1,10,5,0.0,2.95,3.53
2006,1,10,6,0.0,2.76,3.46
2006,1,10,7,12.68,2.83,3.47
2006,1,10,8,113.5,4.03,3.56
2006,1,10,9,240.23,5.03,3.51
2006,1,10,10,345.48,6.16,3.48
2006,1,10,11,433.12,6.78,2.87
2006,1,10,12,433.2,7.15,2.1
2006,1,10,13,399.35,7.38,1.25
2006,1,10,14,290.05,7.48,0.7
2006,1,10,15,158.05,7.2,1.03
2006,1,10,16,23.83,6.4,1.21
2006,1,10,17,0.0,5.82,1.58
2006,1,10,18,0.0,5.36,2.0
2006,1,10,19,0.0,4.89,2.47
2006,1,10,20,0.0,4.56,2.87
2006,1,10,21,0.0,4.35,3.3
2006,1,10,22,0.0,4.25,3.47
2006,1,10,23,0.0,4.24,3.38
2006,1,11,0,0.0,4.29,3.14
2006,1,11,1,0.0,4.3,2.68
2006,1,11,2,0.0,4.38,2.24
2006,1,11,3,0.0,4.55,1.89
2006,1,11,4,0.0,4.79,1.67
2006,1,11,5,0.0,5.06,1.71
2006,1,11,6,0.0,5.28,1.95
2006,1,11,7,5.7,5.74,2.32
2006,1,11,8,6.12,6.41,2.81
2006,1,11,9,21.23,7.37,3.22
2006,1,11,10,46.67,8.08,3.5
2006,1,11,11,75.43,8.65,3.4
2006,1,11,12,200.9,9.11,3.12
